Name - Energy Industry,Code - Energy Industry,Payment Terms,Minimum Order Quantity
Loop Calibrators-E,CAL-0002-E,Net 30,30
Keyboard UK Layout-E,KEYBOARDUK-E,Net 30,30
Desktop Computer-E,DESKTOPCOMPUTER-E,Net 30,30
Home Security Console-E,HOMESECURITYCONSOLE-E,Net 30,30
Doorbell Camera-E,DOORBELLCAMERA-E,Net 30,30
Motion Sensor-E,MOTIONSENSOR-E,Net 30,30
Smart UK Power Strip-E,SMARTUKPOWERSTRIP-E,Net 30,30
Smart UK Power Outlet-E,SMARTUKPOWEROUTLET-E,Net 30,30
Smart US Power Outlet-E,SMARTUSPOWEROUTLET-E,Net 30,30
Camera Mount Microphone-E,CAMERAMIC-E,Net 30,30
Smart EU Power Strip-E,SMARTEUPOWERSTRIP-E,Net 30,30
Smart EU Power Outlet-E,SMARTEUPOWEROUTLET-E,Net 30,30
Smartwatch Band-E,SMARTWATCHBAND-E,Net 30,30
4K Monitor-E,MONITOR4K-E,Net 30,30
Netbook-E,NETBOOK-E,Net 30,30
NetbookPro-E,NETBOOKPRO-E,Net 30,30
Firewall-E,FIREWALL-E,Net 30,30
Solar Controller Hub-E,SOLARCONTROLLERHUB-E,Net 30,30
Flat Roof Mounting Kit-E,FLATROOFMOUNTINGKIT-E,Net 30,30
Inverter-E,INVERTER-E,Net 30,30
Solar Panel 400W-E,SOLARPANEL400W-E,Net 30,30
Angled Roof Mounting Kit-E,ANGLEDROOFMOUNTINGKIT-E,Net 30,30
Charge Controller-E,CHARGECONTROLLER-E,Net 30,30
Ground Mounting Kit-E,GROUNDMOUNTINGKIT-E,Net 30,30
Microinverter-E,MICROINVERTER-E,Net 30,30
Wiring Kit-E,WIRINGKIT-E,Net 30,30
10kWh Battery-E,10KWHBATTERY-E,Net 30,30
Grid Disconnect Switch-E,GRIDDISCONNECTSWITCH-E,Net 30,30
Solar Disconnect Switch-E,SOLARDISCONNECTSWITCH-E,Net 30,30
5kWh Battery-E,5KWHBATTERY-E,Net 30,30
CPU 2.5GHz i7-E,CPU25GHZI7-E,Net 30,30
Router-E,ROUTER-E,Net 30,30
Monitor 1080p-E,MONITOR1080P-E,Net 30,30
Projector-E,PROJECTOR-E,Net 30,30
LTE Hotspot-E,LTEHOTSPOT-E,Net 30,30
"6"" Smartphone-E",SMARTPHONE6-E,Net 30,30
Projector Ceiling Mount-E,PROJECTORCEILINGMOUNT-E,Net 30,30
Copy Machine-E,COPYMACHINE-E,Net 30,30
Copy Binding Module-E,COPYBINDINGMODULE-E,Net 30,30
"10"" Tablet-E",TABLET10-E,Net 30,30
"13"" Laptop-E",LAPTOP13-E,Net 30,30
CPU 1.6GHz i5-E,CPU16GHZI5-E,Net 30,30
RAM 8GB-E,RAM8GB-E,Net 30,30
SSD Hard Drive 128GB-E,SSD128-E,Net 30,30
Exterior Camera-E,EXTERIORCAMERA-E,Net 30,30
Projector Cart-E,PROJECTORCART-E,Net 30,30
Projector Screen-E,PROJECTORSCREEN-E,Net 30,30
Printer Paper Tray-E,PRINTERPAPERTRAY-E,Net 30,30
Security Console-E,SECURITYCONSOLE-E,Net 30,30
Interior Badge Reader-E,INTERIORBADGEREADER-E,Net 30,30
Exterior Badge Reader-E,EXTERIORBADGEREADER-E,Net 30,30
