Name - Transportation Industry,Code - Transportation Industry,Payment Terms,Minimum Order Quantity
Loop Calibrators-T,CAL-0002-T,Net 50,50
Keyboard UK Layout-T,KEYBOARDUK-T,Net 50,50
Desktop Computer-T,DESKTOPCOMPUTER-T,Net 50,50
Home Security Console-T,HOMESECURITYCONSOLE-T,Net 50,50
Doorbell Camera-T,DOORBELLCAMERA-T,Net 50,50
Motion Sensor-T,MOTIONSENSOR-T,Net 50,50
Smart UK Power Strip-T,SMARTUKPOWERSTRIP-T,Net 50,50
Smart UK Power Outlet-T,SMARTUKPOWEROUTLET-T,Net 50,50
Smart US Power Outlet-T,SMARTUSPOWEROUTLET-T,Net 50,50
Camera Mount Microphone-T,CAMERAMIC-T,Net 50,50
Smart EU Power Strip-T,SMARTEUPOWERSTRIP-T,Net 50,50
Smart EU Power Outlet-T,SMARTEUPOWEROUTLET-T,Net 50,50
Smartwatch Band-T,SMARTWATCHBAND-T,Net 50,50
4K Monitor-T,MONITOR4K-T,Net 50,50
Netbook-T,NETBOOK-T,Net 50,50
NetbookPro-T,NETBOOKPRO-T,Net 50,50
Firewall-T,FIREWALL-T,Net 50,50
Solar Controller Hub-T,SOLARCONTROLLERHUB-T,Net 50,50
Flat Roof Mounting Kit-T,FLATROOFMOUNTINGKIT-T,Net 50,50
Inverter-T,INVERTER-T,Net 50,50
Solar Panel 400W-T,SOLARPANEL400W-T,Net 50,50
Angled Roof Mounting Kit-T,ANGLEDROOFMOUNTINGKIT-T,Net 50,50
Charge Controller-T,CHARGECONTROLLER-T,Net 50,50
Ground Mounting Kit-T,GROUNDMOUNTINGKIT-T,Net 50,50
Microinverter-T,MICROINVERTER-T,Net 50,50
Wiring Kit-T,WIRINGKIT-T,Net 50,50
10kWh Battery-T,10KWHBATTERY-T,Net 50,50
Grid Disconnect Switch-T,GRIDDISCONNECTSWITCH-T,Net 50,50
Solar Disconnect Switch-T,SOLARDISCONNECTSWITCH-T,Net 50,50
5kWh Battery-T,5KWHBATTERY-T,Net 50,50
CPU 2.5GHz i7-T,CPU25GHZI7-T,Net 50,50
Router-T,ROUTER-T,Net 50,50
Monitor 1080p-T,MONITOR1080P-T,Net 50,50
Projector-T,PROJECTOR-T,Net 50,50
LTE Hotspot-T,LTEHOTSPOT-T,Net 50,50
"6"" Smartphone-T",SMARTPHONE6-T,Net 50,50
Projector Ceiling Mount-T,PROJECTORCEILINGMOUNT-T,Net 50,50
Copy Machine-T,COPYMACHINE-T,Net 50,50
Copy Binding Module-T,COPYBINDINGMODULE-T,Net 50,50
"10"" Tablet-T",TABLET10-T,Net 50,50
"13"" Laptop-T",LAPTOP13-T,Net 50,50
CPU 1.6GHz i5-T,CPU16GHZI5-T,Net 50,50
RAM 8GB-T,RAM8GB-T,Net 50,50
SSD Hard Drive 128GB-T,SSD128-T,Net 50,50
Exterior Camera-T,EXTERIORCAMERA-T,Net 50,50
Projector Cart-T,PROJECTORCART-T,Net 50,50
Projector Screen-T,PROJECTORSCREEN-T,Net 50,50
Printer Paper Tray-T,PRINTERPAPERTRAY-T,Net 50,50
Security Console-T,SECURITYCONSOLE-T,Net 50,50
Interior Badge Reader-T,INTERIORBADGEREADER-T,Net 50,50
Exterior Badge Reader-T,EXTERIORBADGEREADER-T,Net 50,50
Interior Camera-T,INTERIORCAMERA-T,Net 50,50
"15"" Laptop-T",LAPTOP15-T,Net 50,50
CPU 2.8GHz i7-T,CPU28GHZI7-T,Net 50,50
Interior Keypad-T,INTERIORKEYPAD-T,Net 50,50
Exterior Keypad-T,EXTERIORKEYPAD-T,Net 50,50
RFID Key Card Printer-T,RFIDKEYCARDPRINTER-T,Net 50,50
Electric Door Lock-T,ELECTRICDOORLOCK-T,Net 50,50
Door Sensor-T,DOORSENSOR-T,Net 50,50
Window Sensor-T,WINDOWSENSOR-T,Net 50,50
Optical Drive-T,OPTICALDRIVE-T,Net 50,50
NVMe Hard Drive 500GB-T,NVME500-T,Net 50,50
